Department,Month,Output Units,Target Units
Operations,01-01-2024,10381,10385
Operations,01-02-2024,10239,9971
Operations,01-03-2024,9541,9861
Operations,01-04-2024,9636,9315
Operations,01-05-2024,8256,9158
Operations,01-06-2024,10183,9530
Operations,01-07-2024,10089,10366
Operations,01-08-2024,9611,10044
Operations,01-09-2024,8138,9018
Operations,01-10-2024,8749,9072
Operations,01-11-2024,9362,9657
Operations,01-12-2024,8687,9465
Sales,01-01-2024,4001,4192
Sales,01-02-2024,4982,4776
Sales,01-03-2024,4592,4604
Sales,01-04-2024,4891,4731
Sales,01-05-2024,5081,4895
Sales,01-06-2024,4542,4321
Sales,01-07-2024,4391,4095
Sales,01-08-2024,4536,4942
Sales,01-09-2024,4775,4756
Sales,01-10-2024,4347,4403
Sales,01-11-2024,4386,4454
Sales,01-12-2024,4898,4533
